ID,Name,Industry,Inception,Employees,State,City,Revenue,Expenses,Profit,Growth
1,Over-Hex,Software,2006,25,TN,Franklin,"$9,684,527","1,130,700 Dollars",,89%
2,Unimattax,IT Services,2009,36,PA,Newtown Square,"$14,016,543","804,035 Dollars",,67%
3,Greenfax,Retail,2012,,SC,Greenville,"$9,746,272","1,044,375 Dollars",,12%
4,Blacklane,IT Services,2011,66,CA,Orange,"$15,359,369","4,631,808 Dollars",,64%
5,Yearflex,Software,2013,45,WI,Madison,"$8,567,910","4,374,841 Dollars",,100%
6,Indigoplanet,IT Services,2013,60,NJ,Manalapan,"$12,805,452","4,626,275 Dollars",,61%
7,Treslam,Financial Services,2009,116,MO,Clayton,"$5,387,469","2,127,984 Dollars",,5%
8,Rednimdox,Construction,2013,73,NY,Woodside,,,,
9,Lamtone,IT Services,2009,55,CA,San Ramon,"$11,757,018","6,482,465 Dollars",,85%
10,Stripfind,Financial Services,2010,25,FL,Boca Raton,"$12,329,371","916,455 Dollars",,12%
11,Canecorporation,Health,2012,6,,New York,"$10,597,009","7,591,189 Dollars",,7%
12,Mattouch,IT Services,2013,6,WA,Bellevue,"$14,026,934","7,429,377 Dollars",,90%
13,Techdrill,Health,2009,9,MS,Flowood,"$10,573,990","7,435,363 Dollars",,8%
14,Techline,IT Services,2006,65,CA,San Ramon,"$13,898,119","5,470,303 Dollars",,78%
15,Cityace,IT Services,2010,25,CO,Louisville,"$9,254,614","6,249,498 Dollars",,67%
16,Kayelectronics,Health,2009,687,NC,Clayton,"$9,451,943","3,878,113 Dollars",,4%
17,Ganzlax,IT Services,2011,75,NJ,Iselin,"$14,001,180",,,88%
18,Trantraxlax,Government Services,2011,35,VA,Suffolk,"$11,088,336","5,635,276 Dollars",,6%
19,E-Zim,Retail,2008,320,OH,Monroe,"$10,746,451","4,762,319 Dollars",,15%
20,Daltfase,Software,2011,78,NC,Durham,"$10,410,628","6,196,409 Dollars",,50%
21,Hotlane,Government Services,2012,87,AL,Huntsville,"$7,978,332","5,686,574 Dollars",,13%
22,Lathotline,Health,2005,103,VA,McLean,"$9,418,303","7,567,233 Dollars",,2%
23,Lambam,IT Services,2012,210,SC,Columbia,"$11,950,148","4,365,512 Dollars",,87%
24,Quozap,Software,2004,21,NJ,Collingswood,"$8,304,480","7,019,973 Dollars",,63%
25,Tampware,Construction,2011,13,TX,Houston,"$9,785,982","2,910,756 Dollars",,11%
26,Dalthow,Health,2000,20,GA,Dacula,"$10,800,718","7,731,820 Dollars",,7%
27,Ranktech,Government Services,2010,607,FL,Tampa,"$10,515,557","7,439,384 Dollars",,7%
28,Unadex,Software,2013,280,NC,Cary,"$5,231,275","2,388,521 Dollars",,42%
29,Groovecane,Construction,2011,17,UT,South Jordan,"$6,811,168","3,560,343 Dollars",,15%
30,Tambase,Software,2010,29,AZ,Scottsdale,"$9,141,817","2,394,135 Dollars",,59%
31,Georedfase,IT Services,2008,19,VA,Vienna,"$13,165,222","810,126 Dollars",,60%
32,Konktraxbam,Software,2011,3,WI,Franklin,"$11,504,780","4,682,545 Dollars",,61%
33,Stanquote,IT Services,2011,133,IL,Des Plaines,"$15,421,180","374,816 Dollars",,72%
34,Lexiholding,Health,2011,10,CA,Newport Beach,"$6,595,798","4,917,351 Dollars",,7%
35,Mediahex,IT Services,2005,29,TX,Houston,"$14,772,570","3,685,640 Dollars",,60%
36,Triojob,Financial Services,2011,33,TX,Dallas,"$9,403,633","223,602 Dollars",,9%
37,D-Zoocare,Financial Services,2010,98,WA,Seattle,"$9,153,440","2,445,885 Dollars",,13%
38,Zun-Trax,Retail,2013,23,SC,Columbia,"$9,732,190","4,437,655 Dollars",,11%
39,Biotain,Construction,2012,62,IA,Davenport,"$11,642,543","4,781,280 Dollars",,13%
40,Newjofix,Financial Services,2010,90,CA,West Hollywood,"$12,339,863","1,415,312 Dollars",,14%
41,Ozer-Dox,Health,2013,35,GA,Duluth,"$9,621,471","6,759,243 Dollars",,9%
42,Iscom,Health,2013,595,CT,West Hartford,"$8,027,658","7,221,158 Dollars",,8%
43,Istone,Software,2011,50,VA,Reston,"$4,424,720","461,975 Dollars",,57%
44,Ganzgreen,Construction,2010,224,TN,Franklin,,,,9%
45,Zamhouse,Construction,2009,39,ME,Lisbon Falls,"$7,543,695","6,561,021 Dollars",,12%
46,Openjocon,Construction,2013,75,IL,Midlothian,"$11,374,343","4,273,207 Dollars",,13%
47,Trisity,Health,2012,26,CA,San Diego,"$6,918,290","6,344,372 Dollars",,
48,Planetice,Health,2012,42,MD,Silver Spring,"$10,757,724","6,782,077 Dollars",,4%
49,Villadox,Construction,2012,20,CA,Carlsbad,"$8,651,649","1,097,353 Dollars",,11%
50,Alphacane,Retail,2013,3,MO,O'Fallon,"$7,903,763","5,873,666 Dollars",,13%
51,Rankcone,Government Services,2011,36,VA,Virginia Beach,"$6,036,944","4,837,188 Dollars",,7%
52,Iceice,Government Services,2010,21,WV,Star City,"$6,352,466","1,455,581 Dollars",,6%
53,Fixquadtech,Health,2012,85,PA,Philadelphia,"$8,299,901","6,968,474 Dollars",,8%
54,Zonhigh,IT Services,2010,96,IL,Chicago,"$12,723,684","4,498,099 Dollars",,72%
55,Toughway,Financial Services,2010,219,FL,St. Petersburg,"$13,442,136","3,291,056 Dollars",,9%
56,Bluetexon,IT Services,2010,117,TX,Plano,"$12,685,910","8,350,913 Dollars",,73%
57,Nimvivafind,Financial Services,2009,34,NJ,Newark,"$11,605,855","2,632,247 Dollars",,12%
58,Eremenko,Financial Services,2012,60,FL,Maitland,"$11,445,633","3,162,905 Dollars",,11%
59,Hot-Electrics,IT Services,2006,46,GA,Augusta,"$17,214,068","1,412,142 Dollars",,85%
60,Namdom,Software,2013,105,IL,Chicago,"$8,362,411","2,544,307 Dollars",,48%
61,Tempbam,Software,2013,134,WA,Seattle,"$8,980,591","6,089,130 Dollars",,54%
62,Goodhouse,IT Services,2009,63,VA,Herndon,"$14,833,220","5,667,425 Dollars",,72%
63,Sumzoomit,Construction,2010,32,MO,Lee's Summit,"$18,429,577","7,703,652 Dollars",,19%
64,Goodtex,Government Services,2011,150,VA,Tysons Corner,"$13,118,996","9,860,686 Dollars",,8%
65,Ranquote,Health,2013,400,GA,Alpharetta,"$7,147,363","4,206,340 Dollars",,6%
66,Zathtone,Software,2009,121,NY,New York,"$8,953,759","4,069,681 Dollars",,49%
67,Vivacode,Construction,2009,28,LA,Lake Charles,"$9,410,642","4,117,102 Dollars",,5%
68,Dongcom,Retail,2002,8,NY,Cheektowaga,"$14,477,085","2,772,159 Dollars",,10%
69,Hexhouse,Software,2006,668,MA,Cambridge,"$10,221,740","1,885,810 Dollars",,65%
70,Jobzencane,Software,2011,40,PA,WAYNE,"$7,482,411","2,379,903 Dollars",,63%
71,Sailtech,Software,2012,850,CA,Santa Clara,"$4,543,509","4,474,647 Dollars",,42%
72,Vilacan,Retail,1999,28,UT,Orem,"$12,916,975","5,973,654 Dollars",,10%
73,Stattechno,Health,2014,80,WA,Seattle,"$6,619,705","4,082,936 Dollars",,10%
74,Conin,Construction,2009,23,CA,Rancho Dominguez,"$9,903,489","6,042,545 Dollars",,8%
75,Rezumfind,IT Services,2000,50,VA,Herndon,"$14,024,010","3,101,952 Dollars",,82%
76,Xx--Fase,IT Services,2012,430,TN,Nashville,"$14,048,981","3,944,877 Dollars",,75%
77,Stiming,IT Services,2014,24,NY,Williamsville,"$9,779,076","594,698 Dollars",,73%
78,E-Can,Financial Services,2013,1628,NJ,Mount Laurel,"$8,218,086","2,958,881 Dollars",,15%
79,Tonjob,Financial Services,2010,87,,Santa Barbara,"$8,475,261","2,364,775 Dollars",,9%
