"","ID","Name","Industry","Inception","Employees","State","City","Revenue","Expenses","Profit","Growth"
"1",1,"Over-Hex","Software","2006",25,"TN","Franklin",9684527,1130700,8553827,89
"2",2,"Unimattax","IT Services","2009",36,"PA","Newtown Square",2804834,804035,2000799,67
"3",3,"Greenfax","Retail","2012",231.5,"SC","Greenville",1144474,1044375,100099,12
"4",4,"Blacklane","IT Services","2011",66,"CA","Orange",6888577,4631808,2256769,64
"5",5,"Yearflex","Software","2013",45,"WI","Madison",6067049,4374841,1692208,100
"6",6,"Indigoplanet","IT Services","2013",60,"NJ","Manalapan",5429993,4626275,803718,61
"7",7,"Treslam","Financial Services","2009",116,"MO","Clayton",5387469,2127984,3259485,5
"8",8,"Rednimdox","Construction","2013",73,"NY","Woodside",7557390,11021265,-3463875,13
"9",9,"Lamtone","IT Services","2009",55,"CA","San Ramon",9335857,6482465,2853392,85
"10",10,"Stripfind","Financial Services","2010",25,"FL","Boca Raton",2594714,916455,1678259,12
"11",11,"Canecorporation","Health","2012",6,"NY","New York",5742668,7591189,-1848521,7
"12",12,"Mattouch","IT Services","2013",6,"WA","Bellevue",7897977,7429377,468600,90
"13",13,"Techdrill","Health","2009",9,"MS","Flowood",9011201,7435363,1575838,8
"14",14,"Techline","IT Services","2006",65,"CA","San Ramon",4304788,5470303,-1165515,78
"15",15,"Cityace","IT Services","2010",25,"CO","Louisville",7913084,6249498,1663586,67
"16",16,"Kayelectronics","Health","2009",687,"NC","Clayton",9451943,3878113,5573830,4
"17",17,"Ganzlax","IT Services","2011",75,"NJ","Iselin",4954649,11021265,-6066616,88
"18",18,"Trantraxlax","Government Services","2011",35,"VA","Suffolk",2724357,5635276,-2910919,6
"19",19,"E-Zim","Retail","2008",320,"OH","Monroe",10746451,4762319,5984132,15
"20",20,"Daltfase","Software","2011",78,"NC","Durham",9751153,6196409,3554744,50
"21",21,"Hotlane","Government Services","2012",87,"AL","Huntsville",1106845,5686574,-4579729,13
"22",22,"Lathotline","Health","2005",103,"VA","McLean",9418303,7567233,1851070,2
"23",23,"Lambam","IT Services","2012",210,"SC","Columbia",11950148,4365512,7584636,87
"24",24,"Quozap","Software","2004",21,"NJ","Collingswood",7903196,7019973,883223,63
"25",25,"Tampware","Construction","2011",13,"TX","Houston",3909268,2910756,998512,11
"26",26,"Dalthow","Health","2000",20,"GA","Dacula",4247932,7731820,-3483888,7
"27",27,"Ranktech","Government Services","2010",607,"FL","Tampa",8671694,7439384,1232310,7
"28",28,"Unadex","Software","2013",280,"NC","Cary",5231275,2388521,2842754,42
"29",29,"Groovecane","Construction","2011",17,"UT","South Jordan",2033295,3560343,-1527048,15
"30",30,"Tambase","Software","2010",29,"AZ","Scottsdale",8156438,2394135,5762303,59
"31",31,"Georedfase","IT Services","2008",19,"VA","Vienna",8202582,810126,7392456,60
"32",32,"Konktraxbam","Software","2011",3,"WI","Franklin",5759148,4682545,1076603,61
"33",33,"Stanquote","IT Services","2011",133,"IL","Des Plaines",15421180,374816,15046364,72
"34",34,"Lexiholding","Health","2011",10,"CA","Newport Beach",9680289,4917351,4762938,7
"35",35,"Mediahex","IT Services","2005",29,"TX","Houston",7613422,3685640,3927782,60
"36",36,"Triojob","Financial Services","2011",33,"TX","Dallas",8820857,223602,8597255,9
"37",37,"D-Zoocare","Financial Services","2010",98,"WA","Seattle",6390881,2445885,3944996,13
"38",38,"Zun-Trax","Retail","2013",23,"SC","Columbia",1960509,4437655,-2477146,11
"39",39,"Biotain","Construction","2012",62,"IA","Davenport",7340678,4781280,2559398,13
"40",40,"Newjofix","Financial Services","2010",90,"CA","West Hollywood",4644001,1415312,3228689,14
"41",41,"Ozer-Dox","Health","2013",35,"GA","Duluth",7767510,6759243,1008267,9
"42",42,"Iscom","Health","2013",595,"CT","West Hartford",8027658,7221158,806500,8
"43",43,"Istone","Software","2011",50,"VA","Reston",1708639,461975,1246664,57
"44",44,"Ganzgreen","Construction","2010",224,"TN","Franklin",9927228,12535799,-2608571,9
"45",45,"Zamhouse","Construction","2009",39,"ME","Lisbon Falls",4215247,6561021,-2345774,12
"46",46,"Openjocon","Construction","2013",75,"IL","Midlothian",2408765,4273207,-1864442,13
"47",47,"Trisity","Health","2012",26,"CA","San Diego",2075594,6344372,-4268778,14
"48",48,"Planetice","Health","2012",42,"MD","Silver Spring",8673361,6782077,1891284,4
"49",49,"Villadox","Construction","2012",20,"CA","Carlsbad",2562303,1097353,1464950,11
"50",50,"Alphacane","Retail","2013",3,"MO","O'Fallon",9920622,5873666,4046956,13
"51",51,"Rankcone","Government Services","2011",36,"VA","Virginia Beach",7054476,4837188,2217288,7
"52",52,"Iceice","Government Services","2010",21,"WV","Star City",5429993,1455581,3974412,6
"53",53,"Fixquadtech","Health","2012",85,"PA","Philadelphia",7319529,6968474,351055,8
"54",54,"Zonhigh","IT Services","2010",96,"IL","Chicago",3688436,4498099,-809663,72
